Title,Year,Publisher,Genre,Console
Contra Hard Corps,1994,"Konami Co., Ltd., Konami Deutschland GmbH, Konami (America), Inc.",Action,Sega Genesis
Cool Spot,1993,"Virgin Games, Ltd., Virgin Games, Inc., Virgin Interactive Entertainment (Japan), Inc.",Action,Sega Genesis
Corporation,1992,"Virgin Games, Inc.",Action,Sega Genesis
Cosmic Spacehead,1993,"Codemasters Software Company Limited, The","Action, Adventure",Sega Genesis
Crack Down,1990,"Sage's Creation, Inc., SEGA Enterprises Ltd., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Crayon Shin-chan: Arashi o Yobu Enji,1994,MA-BA Corp,Action,Sega Genesis
CrazyBus,2004,Tom Scripts Ltda.,Racing / driving,Sega Genesis
CrossFire,1991,"Kyugo of America, Inc., Kyugo Trading Co., Ltd, Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Crüe Ball,1992,"Electronic Arts, Inc., Electronic Arts Victor, Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Crusader of Centy,1994,"Atlus Software Inc., Samsung Electronics Co., Ltd., SEGA Enterprises Ltd.",Action,Sega Genesis
Crystal's Pony Tale,1994,"SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.","Action, Adventure",Sega Genesis
Curse,1989,Micronet Co. Ltd.,Action,Sega Genesis
Cutie Suzuki no Ringside Angel,1990,Asmik Corporation,"Action, Sports",Sega Genesis
Cutthroat Island,1996,"Acclaim Entertainment, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Cyberball,1990,"SEGA Enterprises Ltd., SEGA of America, Inc.","Sports, Strategy / tactics",Sega Genesis
Cyborg Justice,1993,"SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Daffy Duck in Hollywood,1995,SEGA Enterprises Ltd.,Action,Sega Genesis
Dahna: Megami Tanj?,1991,Information Global Service,Action,Sega Genesis
Dangerous Seed,1990,Namco Limited,Action,Sega Genesis
Dark Castle,1991,"Electronic Arts, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Dashin' Desperadoes,1993,"Data East USA, Inc.","Action, Racing / driving",Sega Genesis
David Crane's Amazing Tennis,1992,"Absolute Entertainment, Inc.",Sports,Sega Genesis
David Robinson's Supreme Court,1992,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Sports,Sega Genesis
Davis Cup Tennis,1993,"Tengen Inc., Tengen Ltd.",Sports,Sega Genesis
Daze Before Christmas,1994,Sun Corporation,Action,Sega Genesis
Deadly Moves,1992,"Kaneko Co., Ltd., Kaneko USA, Ltd.",Action,Sega Genesis
The Death and Return of Superman,1994,Sun Corporation of America,Action,Sega Genesis
Death Duel,1992,"RazorSoft, Inc.",Action,Sega Genesis
DEcapAttack,1991,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Demolition Man,1995,"Acclaim Entertainment, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Desert Demolition Starring Road Runner and Wile E. Coyote,1995,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Desert Strike: Return to the Gulf,1992,"Electronic Arts, Inc., Electronic Arts Victor, Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Devilish: The Next Possession,1992,"Hot-B Co., Ltd., Sage's Creation, Inc.",Action,Sega Genesis
Devil's Crush,1991,"Technosoft Co., Ltd., Tengen Inc.",Action,Sega Genesis
Dial Q o Mawase!,1992,Studio Fazzy,Strategy / tactics,Sega Genesis
Dick Tracy,1990,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
"Dick Vitale's ""Awesome, Baby!"" College Hoops",1994,Time Warner Interactive Inc.,Sports,Sega Genesis
Dino Dini's Soccer,1994,Virgin Interactive Entertainment (Europe) Ltd.,Sports,Sega Genesis
Dino Land,1991,"Renovation Products, Inc., Wolf Team",Simulation,Sega Genesis
The Disney Collection: Quackshot Starring Donald Duck & Castle of Illusion Starring Mickey Mouse,1996,SEGA Enterprises Ltd.,Compilation,Sega Genesis
Disney's Aladdin,1993,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Disney's Ariel the Little Mermaid,1992,"SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Disney's Beauty and the Beast: Belle's Quest,1993,Sun Electronics Corp.,Action,Sega Genesis
Disney's Beauty and the Beast: Roar of the Beast,1993,Sun Corporation of America,Action,Sega Genesis
Disney's Bonkers,1994,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.","Action, Racing / driving",Sega Genesis
Disney's Pocahontas,1996,"Buena Vista Games, Inc., SEGA Enterprises Ltd., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Disney's TaleSpin,1992,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Disney's The Jungle Book,1994,"Virgin Interactive Entertainment (Europe) Ltd., Virgin Interactive Entertainment, Inc.",Action,Sega Genesis
Disney's Toy Story,1995,"Disney Interactive, Inc., SEGA Enterprises Ltd., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Divine Sealing,1991,Studio Fazzy,Action,Sega Genesis
DJ Boy,1990,"Kaneko USA, Ltd., SEGA Enterprises Ltd.",Action,Sega Genesis
Doom Troopers: Mutant Chronicles,1995,"Playmates Interactive Entertainment, Inc.",Action,Sega Genesis
Doraemon: Yume Dorob? to 7-nin no Gozans,1993,SEGA Enterprises Ltd.,Action,Sega Genesis
Double Clutch,1993,SEGA Enterprises Ltd.,Racing / driving,Sega Genesis
Double Dragon,1993,Ballistic,Action,Sega Genesis
Double Dragon 3: The Rosetta Stone,1992,"Flying Edge, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Double Dragon II: The Revenge,1991,PAL SOFT,Action,Sega Genesis
Double Dragon V: The Shadow Falls,1994,"Tradewest, Inc.",Action,Sega Genesis
Double Dribble: The Playoff Edition,1994,"Konami Co., Ltd., Konami (America), Inc.","Action, Sports",Sega Genesis
Double Pack: Joe Montana Football 3 and Double Clutch MD,1996,Sega Ozisoft Pty Ltd.,Compilation,Sega Genesis
Dragon Ball Z: L'Appel Du Destin,1994,"Bandai Co., Ltd., Bandai S.A.",Action,Sega Genesis
Dragon's Eye Plus Shanghai III,1991,Home Data Corp.,Puzzle,Sega Genesis
Dragon Slayer: The Legend of Heroes,1994,SEGA Corporation,Role-Playing (RPG),Sega Genesis
Dragon Slayer: The Legend of Heroes II,1995,SEGA Corporation,Role-Playing (RPG),Sega Genesis
Dragon's Revenge,1993,"Tengen Inc., Tengen Ltd.",Action,Sega Genesis
Dragon: The Bruce Lee Story,1994,"Acclaim Entertainment, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Dr. Robotnik's Mean Bean Machine,1993,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Puzzle,Sega Genesis
The Duel: Test Drive II,1992,"Accolade, Inc., Ballistic","Racing / driving, Simulation",Sega Genesis
Duke Nukem 3D,1998,Tec Toy Indústria de Brinquedos S.A.,Action,Sega Genesis
Dune: The Battle for Arrakis,1994,"Virgin Interactive Entertainment (Europe) Ltd., Virgin Games, Inc.",Strategy / tactics,Sega Genesis
Dungeons & Dragons: Warriors of the Eternal Sun,1992,"SEGA Enterprises Ltd., SEGA of America, Inc.",Role-Playing (RPG),Sega Genesis
Dyna Brothers,1992,CSK Research Institute Corp.,Strategy / tactics,Sega Genesis
Dyna Brothers 2,1993,CSK Research Institute Corp.,Strategy / tactics,Sega Genesis
Dyna Brothers 2: Sega Channel Special,1995,SEGA Enterprises Ltd.,Special edition,Sega Genesis
Dynamite Duke,1990,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Dynamite Headdy,1994,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
Earnest Evans,1992,"Renovation Products, Inc.",Action,Sega Genesis
Earth Defense,1995,Realtec Corporation,Action,Sega Genesis
Earthworm Jim,1994,"Interplay Productions, Inc., Playmates Interactive Entertainment, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Earthworm Jim 2,1995,"Interplay Productions, Inc., Playmates Interactive Entertainment, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
EA Sports Double Header,1993,Electronic Arts Ltd.,"Compilation, Sports",Sega Genesis
Ecco Jr.,1995,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
Ecco the Dolphin,1992,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Ecco: The Tides of Time,1994,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
Elemental Master,1990,"Renovation Products, Inc., Technosoft Co., Ltd.",Action,Sega Genesis
Eliminate Down,1993,"Soft Vision International Co., Ltd.",Action,Sega Genesis
Elitserien 95,1994,"Electronic Arts, Inc.",Sports,Sega Genesis
Elitserien 96,1995,"Electronic Arts, Inc.",Sports,Sega Genesis
El Viento,1991,"Renovation Products, Inc., Wolf Team",Action,Sega Genesis
Escape 2042: The Truth Defenders,2017,OrionSoft,Action,Sega Genesis
ESPN Baseball Tonight,1994,Sony Imagesoft,Sports,Sega Genesis
ESPN National Hockey Night,1994,Sony Imagesoft,Sports,Sega Genesis
ESPN Speed World,1994,Sony Imagesoft,"Racing / driving, Simulation",Sega Genesis
ESPN Sunday Night NFL,1994,Sony Imagesoft,Sports,Sega Genesis
ESWAT: City under Siege,1990,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Eternal Champions,1993,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
"Evander Holyfield's ""Real Deal"" Boxing",1992,"SEGA Enterprises Ltd., SEGA of America, Inc.",Sports,Sega Genesis
Exile,1991,"Renovation Products, Inc., Telenet Japan Co., Ltd.","Action, Role-Playing (RPG)",Sega Genesis
Ex-Mutants,1992,"SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Exodus: Journey to the Promised Land,1993,"Wisdom Tree, Inc.","Action, Educational, Puzzle",Sega Genesis
Exo Squad,1995,"Virgin Interactive Entertainment (Europe) Ltd., Playmates Interactive Entertainment, Inc.",Action,Sega Genesis
F-117 Night Storm,1993,"Electronic Arts, Inc., Electronic Arts Victor, Tec Toy Indústria de Brinquedos S.A.",Simulation,Sega Genesis
F-15 Strike Eagle II,1993,"MicroProse Software, Inc.",Simulation,Sega Genesis
F1 Circus '91,1991,"Nihon Bussan Co., Ltd.",Racing / driving,Sega Genesis
F1 Triple Battle,1991,"Human Entertainment, Inc.",Racing / driving,Sega Genesis
F1: World Championship Edition,1995,Domark Software Ltd.,"Racing / driving, Sports",Sega Genesis
F-22 Interceptor,1991,"Electronic Arts, Inc., Electronic Arts Ltd., Electronic Arts Victor, Tec Toy Indústria de Brinquedos S.A.",Simulation,Sega Genesis
The Faery Tale Adventure: Book I,1991,"Electronic Arts, Inc.",Role-Playing (RPG),Sega Genesis
Family Feud,1993,"GameTek, Inc.",Puzzle,Sega Genesis
Fantasia,1991,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
The Fantastic Adventures of Dizzy,1993,"Codemasters Software Company Limited, The",Action,Sega Genesis
Fatal Fury,1993,"SEGA Enterprises Ltd., TAKARA U.S.A. CORP., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Fatal Fury 2,1994,"TAKARA Co., Ltd., TAKARA U.S.A. CORP.",Action,Sega Genesis
Fatal Labyrinth,1990,"SEGA Enterprises Ltd., SEGA of America, Inc.",Role-Playing (RPG),Sega Genesis
Férias Frustradas do Pica-Pau,1996,Tec Toy Indústria de Brinquedos S.A.,Action,Sega Genesis
Ferrari Grand Prix Challenge,1992,"Flying Edge, Inc., Varie Corporation","Racing / driving, Simulation",Sega Genesis
FIFA International Soccer,1993,"Electronic Arts, Inc., Electronic Arts Ltd., Electronic Arts Victor, Tec Toy Indústria de Brinquedos S.A.",Sports,Sega Genesis
FIFA: Road to World Cup 98,1997,"Electronic Arts, Inc.",Sports,Sega Genesis
