Title,Year,Publisher,Genre,Console
Pachinko Kuunyan,1992,"Soft Vision International Co., Ltd.",Simulation,Sega Genesis
Pac-Man 2: The New Adventures,1994,Namco Hometek Inc.,Adventure,Sega Genesis
Pac-Mania,1991,Tengen Inc.,Action,Sega Genesis
Paddle Fighter,1991,SEGA Enterprises Ltd.,Action,Sega Genesis
The Pagemaster,1994,"Fox Interactive, Inc.",Action,Sega Genesis
Panorama Cotton,1994,Sun Corporation,Action,Sega Genesis
Paperboy,1991,"Tengen Inc., Tengen Ltd.",Action,Sega Genesis
Paperboy 2,1992,"Tec Toy Indústria de Brinquedos S.A., Tengen Inc.",Action,Sega Genesis
Party Quiz: Mega Q,1993,SEGA Enterprises Ltd.,Puzzle,Sega Genesis
Pat Riley Basketball,1990,"SEGA Enterprises Ltd., SEGA of America, Inc.","Action, Sports",Sega Genesis
Pebble Beach Golf Links,1993,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Sports,Sega Genesis
Pelé!,1993,"Accolade, Inc.","Simulation, Sports",Sega Genesis
Pelé II: World Tournament Soccer,1994,"Accolade, Inc.","Action, Sports",Sega Genesis
Pepenga Pengo,1995,SEGA Enterprises Ltd.,Action,Sega Genesis
Pete Sampras Tennis,1994,"Codemasters Software Company Limited, The",Sports,Sega Genesis
Pete Sampras Tennis 96,1995,Codemasters,Sports,Sega Genesis
PGA European Tour,1994,"Electronic Arts, Inc.","Simulation, Sports",Sega Genesis
PGA Tour 96,1995,"Electronic Arts, Inc.",Sports,Sega Genesis
PGA Tour Golf,1991,"Electronic Arts, Inc.",Sports,Sega Genesis
PGA Tour Golf II,1992,"Electronic Arts, Inc., Electronic Arts Victor",Sports,Sega Genesis
PGA Tour Golf III,1994,"Electronic Arts, Inc.","Simulation, Sports",Sega Genesis
Phantasy Star,1994,SEGA Enterprises Ltd.,Role-Playing (RPG),Sega Genesis
Phantasy Star II,1989,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Role-Playing (RPG),Sega Genesis
Phantasy Star III: Generations of Doom,1990,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Role-Playing (RPG),Sega Genesis
Phantasy Star II Text Adventure: Amia no B?ken,1990,SEGA Enterprises Ltd.,Adventure,Sega Genesis
Phantasy Star II Text Adventure: Anne no B?ken,1991,SEGA Enterprises Ltd.,Adventure,Sega Genesis
Phantasy Star II Text Adventure: Eusis no B?ken,1991,SEGA Enterprises Ltd.,Adventure,Sega Genesis
Phantasy Star II Text Adventure: Huey no B?ken,1991,SEGA Enterprises Ltd.,Adventure,Sega Genesis
Phantasy Star II Text Adventure: Kinds no B?ken,1990,SEGA Enterprises Ltd.,Adventure,Sega Genesis
Phantasy Star II Text Adventure: Nei no B?ken,1991,SEGA Enterprises Ltd.,Adventure,Sega Genesis
Phantasy Star II Text Adventure: Rudger no B?ken,1991,SEGA Enterprises Ltd.,Adventure,Sega Genesis
Phantasy Star II Text Adventure: Shilka no B?ken,1990,SEGA Enterprises Ltd.,Adventure,Sega Genesis
Phantasy Star IV,1993,"SEGA Enterprises Ltd., SEGA of America, Inc.",Role-Playing (RPG),Sega Genesis
Phantom 2040,1995,Viacom New Media,Action,Sega Genesis
Phelios,1990,"Namco Limited, Namco Hometek Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Pier Solar and the Great Architects,2010,WaterMelon Co.,Role-Playing (RPG),Sega Genesis
Pigskin 621 AD,1992,"RazorSoft, Inc.",Sports,Sega Genesis
Pink Goes to Hollywood,1993,TecMagik Entertainment Ltd.,Action,Sega Genesis
Pinocchio,1995,"Disney Interactive (Europe, Middle East & Africa) S.A., Tec Toy Indústria de Brinquedos S.A., THQ Inc.",Action,Sega Genesis
Pirates! Gold,1993,"MicroProse Software, Inc.","Action, Strategy / tactics",Sega Genesis
The Pirates of Dark Water,1994,"Sun Corporation, Sun Corporation of America",Action,Sega Genesis
Pitfall: The Mayan Adventure,1994,"Activision, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Pit-Fighter,1991,"Tengen Inc., Tengen Ltd.",Action,Sega Genesis
Populous,1990,"Electronic Arts, Inc., SEGA Enterprises Ltd.",Strategy / tactics,Sega Genesis
Populous II: Trials of the Olympian Gods,1992,"Virgin Games, Ltd.",Strategy / tactics,Sega Genesis
Powerball,1991,"Namco Limited, Namco Hometek Inc.",Sports,Sega Genesis
Power Drive,1994,"Tec Toy Indústria de Brinquedos S.A., U.S. Gold Ltd.",Racing / driving,Sega Genesis
Power Instinct,1994,"Atlus Co., Ltd.",Action,Sega Genesis
PowerMonger,1992,"Electronic Arts, Inc., Electronic Arts Victor, Tec Toy Indústria de Brinquedos S.A.",Strategy / tactics,Sega Genesis
Predator 2,1992,Arena Entertainment,Action,Sega Genesis
Premier Manager,1995,Gremlin Interactive Limited,Sports,Sega Genesis
Premier Manager 97 ,1996,Gremlin Interactive Limited,Sports,Sega Genesis
Primal Rage,1995,"Tec Toy Indústria de Brinquedos S.A., Time Warner Interactive Inc.",Action,Sega Genesis
Prime Time NFL Football starring Deion Sanders,1996,"SEGA of America, Inc.",Sports,Sega Genesis
Prince of Persia,1993,"Domark Software Ltd., Tengen Inc.",Action,Sega Genesis
Pro Quarterback,1992,"Tradewest, Inc.",Sports,Sega Genesis
Pro Striker,1993,SEGA Enterprises Ltd.,Sports,Sega Genesis
Pro Striker 2,1994,SEGA Enterprises Ltd.,Sports,Sega Genesis
Pro Striker: Final Stage,1995,SEGA Enterprises Ltd.,Sports,Sega Genesis
Pro Striker Perfect,1993,SEGA Enterprises Ltd.,Sports,Sega Genesis
Pro Yaky? Super League '91,1991,SEGA Enterprises Ltd.,Sports,Sega Genesis
Psycho Pinball,1995,"Codemasters Software Company Limited, The",Action,Sega Genesis
Psy-O-Blade,1990,"Sigma Enterprises, Inc.",Adventure,Sega Genesis
P.T.O.: Pacific Theater of Operations,1992,"KOEI Co., Ltd., KOEI Corporation","Educational, Strategy / tactics",Sega Genesis
Puggsy,1993,Psygnosis Limited,Action,Sega Genesis
Pulseman,1994,SEGA Enterprises Ltd.,Action,Sega Genesis
The Punisher,1994,"Capcom U.S.A., Inc.",Action,Sega Genesis
Putter Golf,1990,SEGA Enterprises Ltd.,Sports,Sega Genesis
Puyo Puyo,1992,SEGA Enterprises Ltd.,Puzzle,Sega Genesis
Puyo Puyo 2,1994,Compile,Puzzle,Sega Genesis
Puzzle & Action: Ichidant-R,1995,SEGA Enterprises Ltd.,Action,Sega Genesis
Puzzle & Action: Tant-R,1994,SEGA Enterprises Ltd.,Action,Sega Genesis
Pyramid Magic,1991,SEGA Enterprises Ltd.,"Action, Puzzle",Sega Genesis
Pyramid Magic II,1991,SEGA Enterprises Ltd.,"Action, Puzzle, Simulation",Sega Genesis
Pyramid Magic III,1991,SEGA Enterprises Ltd.,"Action, Puzzle",Sega Genesis
Pyramid Magic Special,1991,SEGA Enterprises Ltd.,"Action, Puzzle",Sega Genesis
QuackShot starring Donald Duck,1991,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
Quad Challenge,1991,"Namco Limited, Namco Hometek Inc.",Racing / driving,Sega Genesis
Race Drivin',1993,Tengen Inc.,Racing / driving,Sega Genesis
Radical Rex,1994,"Activision, Inc.",Action,Sega Genesis
Raiden,1991,"Bignet U.S.A., Inc., Micronet Co. Ltd., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Rainbow Islands Extra,1990,Taito Corporation,Action,Sega Genesis
Rambo III,1989,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Rampart,1991,"Tengen Inc., Tengen Ltd.","Action, Strategy / tactics",Sega Genesis
Ranger X,1993,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
R.B.I. Baseball 3,1991,Tengen Inc.,Sports,Sega Genesis
R.B.I. Baseball 4,1992,"Tengen Inc., Tengen Ltd.",Sports,Sega Genesis
R.B.I. Baseball '93,1993,Tengen Inc.,"Simulation, Sports",Sega Genesis
R.B.I. Baseball '94,1994,Tengen Inc.,Sports,Sega Genesis
R.C. Pro-Am,1992,"Tradewest, Inc.","Action, Racing / driving",Sega Genesis
Red Zone,1994,Time Warner Interactive Inc.,Action,Sega Genesis
The Ren & Stimpy Show: Stimpy's Invention,1993,"SEGA of America, Inc.",Action,Sega Genesis
Rent A Hero,1991,SEGA Enterprises Ltd.,"Action, Role-Playing (RPG)",Sega Genesis
The Revenge of Shinobi,1989,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Revolution X,1995,"Acclaim Entertainment, Inc.",Action,Sega Genesis
Richard Scarry's BusyTown,1994,"SEGA of America, Inc.","Adventure, Educational",Sega Genesis
Riddle Wired: Quiz Dokusen Kigy? no H?kai,1991,SEGA Enterprises Ltd.,Strategy / tactics,Sega Genesis
Rings of Power,1991,"Electronic Arts, Inc.",Role-Playing (RPG),Sega Genesis
Rise of the Robots,1994,Acclaim Entertainment Ltd.,Action,Sega Genesis
Risk: Parker Brothers' World Conquest Game,1994,Parker Brothers,Strategy / tactics,Sega Genesis
Risky Woods,1992,"Electronic Arts, Inc., Electronic Arts Victor, Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Ristar,1995,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
RoadBlasters,1991,"Tengen Inc., Tengen Ltd.",Racing / driving,Sega Genesis
Road Rash,1991,"Electronic Arts, Inc., Electronic Arts Victor, Tec Toy Indústria de Brinquedos S.A.","Action, Racing / driving",Sega Genesis
Road Rash 3,1995,"Electronic Arts, Inc., Electronic Arts Ltd., Tec Toy Indústria de Brinquedos S.A.","Action, Racing / driving",Sega Genesis
Road Rash II,1992,"Electronic Arts, Inc., Electronic Arts Victor, Tec Toy Indústria de Brinquedos S.A.","Racing / driving, Simulation",Sega Genesis
RoboCop 3,1993,"Flying Edge, Inc.",Action,Sega Genesis
RoboCop versus The Terminator,1993,"Virgin Interactive Entertainment (Europe) Ltd., Virgin Games, Inc., Virgin Interactive Entertainment (Japan), Inc.",Action,Sega Genesis
Robot Battler,1991,SEGA Enterprises Ltd.,"Action, Simulation",Sega Genesis
Rocket Knight Adventures,1993,"Konami Co., Ltd., Konami Deutschland GmbH, Konami (America), Inc.",Action,Sega Genesis
Rock n' Roll Racing,1994,"Interplay Productions, Inc.","Action, Racing / driving",Sega Genesis
Roger Clemens' MVP Baseball,1992,"Flying Edge, Inc.",Sports,Sega Genesis
Rolling Thunder 2,1991,"Namco Limited, Namco Hometek Inc.",Action,Sega Genesis
Rolling Thunder 3,1993,Namco Hometek Inc.,Action,Sega Genesis
Rolo to the Rescue,1992,"Electronic Arts, Inc., Electronic Arts Victor, Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Romance of the Three Kingdoms II,1991,"KOEI Co., Ltd.",Strategy / tactics,Sega Genesis
Romance of the Three Kingdoms III: Dragon of Destiny,1992,"KOEI Co., Ltd., KOEI Corporation",Strategy / tactics,Sega Genesis
Rugby World Cup 95,1994,"Electronic Arts, Inc.",Sports,Sega Genesis
Saban's VR Troopers,1995,"SEGA of America, Inc.",Action,Sega Genesis
Sagaia,1990,"Taito Corporation, Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Saint Sword,1991,"Taito America Corporation, Taito Corporation",Action,Sega Genesis
Samurai Shodown,1994,"SEGA Enterprises Ltd., TAKARA U.S.A. CORP.",Action,Sega Genesis
Sangokushi Retsuden: Ransei no Eiy?tachi,1991,SEGA Enterprises Ltd.,"Simulation, Strategy / tactics",Sega Genesis
Sangokushi V,1997,SKOB,Strategy / tactics,Sega Genesis
Sansan,1994,"Sansan Co., Ltd.",Strategy / tactics,Sega Genesis
Saturday Night Slam Masters,1994,"Capcom U.S.A., Inc.","Action, Sports",Sega Genesis
Scholastic's The Magic School Bus: Space Exploration Game,1995,"SEGA of America, Inc.","Educational, Puzzle",Sega Genesis
Scooby-Doo Mystery,1995,"Acclaim Entertainment, Inc., Sun Corporation of America, Tec Toy Indústria de Brinquedos S.A.",Adventure,Sega Genesis
SeaQuest DSV,1994,Black Pearl Software,Action,Sega Genesis
Second Samurai,1994,Psygnosis Limited,Action,Sega Genesis
SEGA Sports 1,1995,SEGA Enterprises Ltd.,Compilation,Sega Genesis
Sega Top Five,1997,Tec Toy Indústria de Brinquedos S.A.,Compilation,Sega Genesis
Sesame Street: Counting Cafe,1994,"Electronic Arts, Inc.","Action, Educational",Sega Genesis
Shadow Blasters,1990,"Sage's Creation, Inc., Sigma Enterprises, Inc.",Action,Sega Genesis
Shadow Dancer: The Secret of Shinobi,1990,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
Shadow of the Beast,1991,"Electronic Arts, Inc., Tec Toy Indústria de Brinquedos S.A., Victor Musical Industries, Inc.",Action,Sega Genesis
Shadow of the Beast II,1992,"Electronic Arts, Inc., Psygnosis Limited, Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Shadowrun,1994,"SEGA of America, Inc.","Action, Role-Playing (RPG)",Sega Genesis
Shane Warne Cricket,1996,"Codemasters Software Company Limited, The",Sports,Sega Genesis
Shanghai II: Dragon's Eye,1994,"Activision, Inc.",Puzzle,Sega Genesis
Shaq Fu,1994,"Electronic Arts, Inc.",Action,Sega Genesis
Shi-Kin-Joh,1991,Sun Electronics Corp.,Puzzle,Sega Genesis
Shining Force,1992,"SEGA Enterprises Ltd., SEGA of America, Inc.","Role-Playing (RPG), Strategy / tactics",Sega Genesis
Shining Force II,1993,"SEGA Enterprises Ltd., SEGA of America, Inc.","Role-Playing (RPG), Strategy / tactics",Sega Genesis
Shining in the Darkness,1991,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Role-Playing (RPG),Sega Genesis
Shinobi III: Return of the Ninja Master,1993,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Sh?gi no Hoshi,1991,Home Data Corp.,Strategy / tactics,Sega Genesis
Shove It! The Warehouse Game,1990,"DreamWorks, Masaya",Puzzle,Sega Genesis
Show do Milhão,2001,Tec Toy S.A.,Puzzle,Sega Genesis
Show do Milhão Volume 2,2001,Tec Toy S.A.,Puzzle,Sega Genesis
Shuihuzhuan,1996,Chuanpu Technologies,"Role-Playing (RPG), Strategy / tactics",Sega Genesis
Shura no Mon,1992,SEGA Enterprises Ltd.,"Adventure, Strategy / tactics",Sega Genesis
Side Pocket,1992,"Data East Corporation, Data East USA, Inc.","Simulation, Sports",Sega Genesis
The Simpsons: Bart's Nightmare,1993,"Flying Edge, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
The Simpsons: Bart vs. the Space Mutants,1992,"Flying Edge, Inc.",Action,Sega Genesis
Sink or Swim,1994,Codemasters,Puzzle,Sega Genesis
Skeleton Krew,1995,"Core Design Ltd., Front Street Publishing, Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Skitchin',1994,"Electronic Arts, Inc., Tec Toy Indústria de Brinquedos S.A.","Racing / driving, Sports",Sega Genesis
Slam Dunk: Ky?g? Makk? Taiketsu!,1995,"Bandai Co., Ltd.",Sports,Sega Genesis
Slap Fight MD,1993,Tengen Ltd.,Action,Sega Genesis
Smart Mouse,1994,"Ming Super Chip Electronic Co., Ltd., Piko Interactive LLC",Action,Sega Genesis
Smash T.V.,1991,"Flying Edge, Inc.",Action,Sega Genesis
The Smurfs,1994,"Infogrames Europe SA, Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
The Smurfs Travel the World,1996,Infogrames Europe SA,Action,Sega Genesis
Snake Rattle N Roll,1993,SEGA Enterprises Ltd.,Action,Sega Genesis
Snow Bros. Nick & Tom,1993,Tengen Ltd.,Action,Sega Genesis
Socket,1993,"Vic Tokai Corporation, Vic Tokai, Inc.",Action,Sega Genesis
Soldiers of Fortune,1993,"MicroProse Ltd., Spectrum Holobyte, Inc.",Action,Sega Genesis
Sol-Feace,1992,"Renovation Products, Inc.",Action,Sega Genesis
Sonic 3D Blast,1996,"SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Sonic 3D Blast: Part One,1996,"SEGA of America, Inc.",Action,Sega Genesis
Sonic 3D Blast: Part Two,1996,"SEGA of America, Inc.",Action,Sega Genesis
Sonic Classics,1995,"Majesco Sales, Inc., SEGA Enterprises Ltd., Tec Toy Indústria de Brinquedos S.A.",Compilation,Sega Genesis
Sonic Eraser,1991,SEGA Enterprises Ltd.,Puzzle,Sega Genesis
Sonic & Knuckles,1994,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
Sonic the Hedgehog,1991,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Sonic the Hedgehog 2,1992,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Sonic the Hedgehog 3,1994,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Sonic the Hedgehog: Spinball,1993,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Sorcerer's Kingdom,1992,"American Treco Corporation, Masaya","Role-Playing (RPG), Strategy / tactics",Sega Genesis
Sorcerian,1990,SEGA Enterprises Ltd.,"Action, Role-Playing (RPG)",Sega Genesis
Space Foxes,2016,,Action,Sega Genesis
Space Harrier II,1988,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
Space Invaders '91,1990,"Taito America Corporation, Taito Corporation, Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Sparkster,1994,"Konami Co., Ltd., Konami Deutschland GmbH, Konami (America), Inc.",Action,Sega Genesis
Speedball 2: Brutal Deluxe,1991,"Arena Entertainment, CSK Research Institute Corp.","Action, Sports",Sega Genesis
Spider-Man,1991,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Spider-Man,1995,"Acclaim Entertainment, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Spider-Man / Venom: Maximum Carnage,1994,"Acclaim Entertainment, Inc., Acclaim Japan, Ltd.",Action,Sega Genesis
Spider-Man / X-Men: Arcade's Revenge,1993,"Flying Edge, Inc.",Action,Sega Genesis
Spiritual Warfare,1994,"Wisdom Tree, Inc.","Action, Educational",Sega Genesis
Spirou,1995,Infogrames Europe SA,Action,Sega Genesis
Splatterhouse 2,1992,"Namco Limited, Namco Hometek Inc., SEGA Enterprises Ltd.",Action,Sega Genesis
Splatterhouse 3,1993,"Namco Limited, Namco Hometek Inc.",Action,Sega Genesis
Sport Games,1998,Tec Toy Indústria de Brinquedos S.A.,Compilation,Sega Genesis
Sports Talk Baseball,1992,"SEGA of America, Inc.",Sports,Sega Genesis
Spot Goes to Hollywood,1995,"Tec Toy Indústria de Brinquedos S.A., Virgin Interactive Entertainment, Inc.",Action,Sega Genesis
SRD: Super Real Darwin,1990,SEGA Enterprises Ltd.,Action,Sega Genesis
Star Control,1991,Ballistic,"Action, Strategy / tactics",Sega Genesis
Star Cruiser,1990,Masaya,Action,Sega Genesis
Starflight,1991,"Electronic Arts, Inc., Tec Toy Indústria de Brinquedos S.A.","Role-Playing (RPG), Simulation",Sega Genesis
Stargate,1995,"Acclaim Entertainment, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Star Odyssey,1991,"Kodansha Ltd., Super Fighter Team",Role-Playing (RPG),Sega Genesis
Star Trek: Deep Space Nine - Crossroads of Time,1995,"Playmates Interactive Entertainment, Inc.",Action,Sega Genesis
Star Trek: The Next Generation - Future's Past,1994,"SEGA of America, Inc.",Action,Sega Genesis
Steel Empire,1992,"Flying Edge, Inc., Hot-B Co., Ltd.",Action,Sega Genesis
Steel Talons,1992,"Tengen Inc., Tengen Ltd.","Action, Simulation",Sega Genesis
Stormlord,1990,"Micro World, RazorSoft, Inc.",Action,Sega Genesis
Street Fighter II: Champion Edition,1993,"Capcom Co., Ltd., Capcom U.S.A., Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Street Racer,1995,"Tec Toy Indústria de Brinquedos S.A., Ubi Soft Entertainment Software",Racing / driving,Sega Genesis
Street Smart,1991,"American Treco Corporation, Treco",Action,Sega Genesis
Streets of Rage,1991,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Streets of Rage 2,1993,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
Streets of Rage 3,1994,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Strider,1990,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Strider 2,1993,U.S. Gold Ltd.,Action,Sega Genesis
Striker,1995,SEGA Enterprises Ltd.,Sports,Sega Genesis
Sub-Terrania,1993,"SEGA Enterprises Ltd., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Summer Challenge,1993,"Accolade, Inc.","Action, Sports",Sega Genesis
Sumo Slam!,2013,"Piko Interactive LLC, Segaman Production",Action,Sega Genesis
Sunset Riders,1993,"Konami, Inc.",Action,Sega Genesis
The Super Aquatic Games,1993,"Electronic Arts, Inc., Tec Toy Indústria de Brinquedos S.A.",Sports,Sega Genesis
Super Baseball 2020,1993,"Electronic Arts, Inc., Electronic Arts Victor",Sports,Sega Genesis
Super Battleship: The Classic Naval Combat Game,1993,"Mindscape, Inc.","Action, Strategy / tactics",Sega Genesis
Super Caesars Palace,1993,"Virgin Games, Inc.",Simulation,Sega Genesis
Super Daisenryaku,1989,SEGA Enterprises Ltd.,Strategy / tactics,Sega Genesis
Super Fantasy Zone,1992,"SEGA Enterprises Ltd., Sun Electronics Corp.",Action,Sega Genesis
Super Hang-On,1989,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Racing / driving,Sega Genesis
Super High Impact,1992,Arena Entertainment,"Action, Sports",Sega Genesis
Super Hydlide,1989,"Asmik Corporation, Seismic Software Inc.","Action, Role-Playing (RPG)",Sega Genesis
Super Kick Off,1992,"Tec Toy Indústria de Brinquedos S.A., U.S. Gold Ltd.",Sports,Sega Genesis
Superman,1992,Sun Corporation of America,Action,Sega Genesis
Super Monaco GP,1990,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.","Racing / driving, Simulation",Sega Genesis
Super Noah's Ark 3-D,2018,Piko Interactive LLC,"Action, Educational",Sega Genesis
Super Skidmarks,1995,"Codemasters Software Company Limited, The",Racing / driving,Sega Genesis
Super Street Fighter II,1994,"Capcom Co., Ltd., Capcom U.S.A., Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Super Thunder Blade,1988,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
SUPER Volley ball,1990,"SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A., Video System Co., Ltd.",Sports,Sega Genesis
SupraKillminds,2014,1985 Alternativo,"Action, Puzzle",Sega Genesis
Surging Aura,1995,SEGA Enterprises Ltd.,Role-Playing (RPG),Sega Genesis
Switchblade,2019,Piko Interactive LLC,Action,Sega Genesis
Sword of Sodan,1990,"Electronic Arts, Inc., SEGA Enterprises Ltd.",Action,Sega Genesis
Sword of Vermilion,1989,"SEGA Enterprises Ltd., SEGA of America, Inc.","Action, Role-Playing (RPG)",Sega Genesis
Syd of Valis,1992,"Renovation Products, Inc., Shin-Nihon Laser Soft Co., Ltd.",Action,Sega Genesis
Sylvester and Tweety in Cagey Capers,1994,Time Warner Interactive Inc.,Action,Sega Genesis
Syndicate,1994,"Electronic Arts, Inc.","Action, Strategy / tactics",Sega Genesis
T2: Terminator 2 - Judgment Day,1993,"Flying Edge, Inc.",Action,Sega Genesis
Taiheiki,1991,SEGA Enterprises Ltd.,Strategy / tactics,Sega Genesis
Taik? Risshiden,1993,"KOEI Co., Ltd.","Role-Playing (RPG), Strategy / tactics",Sega Genesis
Tanglewood,2018,Big Evil Corporation Ltd.,Action,Sega Genesis
Target Earth,1990,"DreamWorks, Masaya",Action,Sega Genesis
Task Force Harrier EX,1991,"American Treco Corporation, Treco",Action,Sega Genesis
Taz in Escape from Mars,1994,"SEGA of America, Inc.",Action,Sega Genesis
Taz-Mania,1992,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Team USA Basketball,1992,"Electronic Arts, Inc., Electronic Arts Victor",Sports,Sega Genesis
TechnoClash,1993,"Electronic Arts, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Techno Cop,1990,"RazorSoft, Inc.","Action, Racing / driving",Sega Genesis
Tecmo Super Baseball,1994,"Tecmo, Inc.",Sports,Sega Genesis
Tecmo Super Bowl,1993,"Tecmo, Inc., Tecmo, Ltd.",Sports,Sega Genesis
Tecmo Super Bowl III: Final Edition,1994,"Tecmo, Inc.",Sports,Sega Genesis
Tecmo Super Bowl II: Special Edition,1994,"Tecmo, Inc., Tecmo, Ltd.",Sports,Sega Genesis
Tecmo Super Hockey,1994,"Tecmo, Inc.",Sports,Sega Genesis
Tecmo Super NBA Basketball,1993,"Tecmo, Inc., Tecmo, Ltd.",Sports,Sega Genesis
Tecmo World Cup '90,1992,"SIMS Co., Ltd.",Sports,Sega Genesis
Teddy Boy Blues,1992,SEGA Enterprises Ltd.,Action,Sega Genesis
Teenage Mutant Ninja Turtles: The Hyperstone Heist,1992,"Konami Co., Ltd., Konami Deutschland GmbH, Konami, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Teenage Mutant Ninja Turtles: Tournament Fighters,1993,"Konami Co., Ltd., Konami (America), Inc.",Action,Sega Genesis
Tel-Tel Mahjong,1990,Sun Electronics Corp.,Strategy / tactics,Sega Genesis
Tel-Tel Stadium,1990,Sun Electronics Corp.,Sports,Sega Genesis
Tenka T?itsu,1991,Asmik Corporation,"Simulation, Strategy / tactics",Sega Genesis
Terminator 2: Judgment Day,1993,"Acclaim Japan, Ltd., Arena Entertainment, Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
The Terminator,1992,"Virgin Games, Ltd., Virgin Games, Inc.",Action,Sega Genesis
Tetris,1989,SEGA Enterprises Ltd.,"Action, Puzzle",Sega Genesis
Theme Park,1995,"Electronic Arts, Inc.",Strategy / tactics,Sega Genesis
Thomas the Tank Engine & Friends,1993,THQ Inc.,"Action, Racing / driving",Sega Genesis
Thunderbolt 2,1995,"Piko Interactive LLC, Sun Green Technology Co., Ltd.",Action,Sega Genesis
Thunder Force II,1989,"SEGA Enterprises Ltd., SEGA of America, Inc., Technosoft Co., Ltd., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Thunder Force III,1990,"Technosoft Co., Ltd., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Thunder Fox,1991,Taito Corporation,Action,Sega Genesis
Thunder Pro Wrestling Retsuden,1992,"Human Entertainment, Inc.",Sports,Sega Genesis
The Tick,1994,"Fox Interactive, Inc.",Action,Sega Genesis
Time Killers,1996,Black Pearl Software,Action,Sega Genesis
